"rotten_tomatoes_link","movie_title","original_release_date","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage","release_year","rating"
"m/honey_i_shrunk_the_kids","Honey, I Shrunk the Kids",1989-06-23,"PG","Fresh",76,34,"Spilled",54,696434,"Male",9,13,69,1989,"PG"
"m/immediate_family","Immediate Family",1989-10-27,"PG-13","Rotten",50,12,"Spilled",55,1196,"Male",11,33,33,1989,"PG-13"
"m/in_country","In Country",1989-09-15,"R","Fresh",68,28,"Spilled",37,2655,"Male",9,15,60,1989,"R"
"m/indiana_jones_and_the_last_crusade","Indiana Jones and the Last Crusade",1989-05-24,"PG-13","Certified-Fresh",88,72,"Upright",94,768536,"Male",20,22,91,1989,"PG-13"
"m/jacknife","Jacknife",1989-03-10,"R","Fresh",64,14,"Spilled",47,2090,"Male",13,18,72,1989,"R"
"m/johnny_handsome","Johnny Handsome",1989-09-29,"R","Fresh",62,13,"Spilled",46,3679,"Male",14,16,88,1989,"R"
"m/k9","K-9",1989-06-01,"PG-13","Rotten",22,9,"Spilled",44,53118,"Male",16,19,84,1989,"PG-13"
"m/1011487-kickboxer","Kickboxer",1989-09-08,"R","Rotten",36,11,"Upright",65,51359,"Male",8,8,100,1989,"R"
"m/kikis_delivery_service","Kiki's Delivery Service",1989-07-29,"G","Certified-Fresh",98,41,"Upright",88,16797,"Male",9,19,47,1989,"G"
"m/lean_on_me","Lean on Me",1989-03-03,"PG-13","Fresh",69,16,"Upright",85,41455,"Male",12,22,55,1989,"PG-13"
"m/let_it_ride","Let It Ride",1989-08-18,"PG-13","Rotten",27,11,"Upright",75,3429,"Male",16,23,70,1989,"PG-13"
"m/lethal_weapon_2","Lethal Weapon 2",1989-07-07,"R","Certified-Fresh",82,45,"Upright",77,250794,"Male",19,25,76,1989,"R"
"m/leviathan","Leviathan",1989-03-17,"R","Rotten",24,25,"Spilled",26,9093,"Male",9,12,75,1989,"R"
"m/licence_to_kill","Licence To Kill",1989-07-14,"PG-13","Certified-Fresh",78,58,"Upright",61,64015,"Male",22,27,81,1989,"PG-13"
"m/little_monsters","Little Monsters",1989-08-25,"PG","Rotten",44,9,"Upright",62,48947,"Male",7,8,88,1989,"PG"
"m/1012605-lock_up","Lock Up",1989-08-04,"R","Rotten",23,13,"Spilled",50,15515,"Male",15,17,88,1989,"R"
"m/look_whos_talking","Look Who's Talking",1989-10-13,"PG-13","Rotten",56,36,"Spilled",47,250644,"Male",12,19,63,1989,"PG-13"
"m/lord_of_the_flies","Lord of the Flies",1989-01-01,"R","Fresh",60,20,"Spilled",52,54304,"Male",9,10,90,1989,"R"
"m/major_league","Major League",1989-04-07,"R","Certified-Fresh",83,40,"Upright",84,91194,"Male",14,19,74,1989,"R"
"m/masters_of_the_universe_2_cyborg","Masters of the Universe 2: Cyborg",1989-04-07,"R","Rotten",19,16,"Spilled",30,28372,"Male",5,8,62,1989,"R"
"m/miracle_mile","Miracle Mile",1989-05-19,"R","Fresh",91,32,"Upright",73,3747,"Male",12,20,60,1989,"R"
"m/my_left_foot","My Left Foot",1989-09-13,"R","Certified-Fresh",98,41,"Upright",92,26763,"Male",6,10,60,1989,"R"
"m/1028711-mystery_train","Mystery Train",1989-11-17,"R","Fresh",89,35,"Upright",87,10579,"Male",11,16,69,1989,"R"
"m/national_lampoons_christmas_vacation","National Lampoon's Christmas Vacation",1989-12-01,"PG-13","Fresh",67,46,"Upright",86,222461,"Male",12,20,60,1989,"PG-13"
"m/new_york_stories","New York Stories",1989-03-10,"PG","Fresh",75,24,"Spilled",56,9749,"Male",19,35,54,1989,"PG"
"m/1014946-next_of_kin","Next of Kin",1989-10-20,"R","Rotten",56,9,"Spilled",45,9637,"Male",21,38,55,1989,"R"
"m/no_holds_barred","No Holds Barred",1989-06-02,"PG-13","Rotten",10,21,"Spilled",34,8595,"Male",8,10,80,1989,"PG-13"
"m/old_gringo","Old Gringo",1989-10-06,"R","Rotten",42,12,"Spilled",48,1051,"Male",11,19,58,1989,"R"
"m/1015753-out_of_the_dark","Out of the Dark",1989-03-11,"R","Rotten",50,6,"Spilled",29,252,"Male",9,15,60,1989,"R"
