"show_id","type","title","release_year","rating","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage"
"s6715","Movie","The Nutcracker and the Four Realms",2018,"PG","PG","Rotten",32,202,"Spilled",34,2313,"Male",6,12,50
"s6772","Movie","The Polka King",2018,"TV-14","NR","Fresh",66,35,"Spilled",49,385,"Male",5,8,62
"s6781","Movie","The Princess Switch",2018,"TV-G","NR","Fresh",75,12,"Spilled",48,461,"Male",1,3,33
"s6996","Movie","The Week Of",2018,"TV-14","NR","Rotten",27,26,"Spilled",33,602,"Male",3,4,75
"s7069","Movie","Thriller",2018,"TV-MA","NR","Rotten",40,25,"Spilled",15,34,"Male",5,6,83
"s7335","Movie","Under the Eiffel Tower",2018,"TV-MA","NR","Rotten",41,17,"Spilled",49,59,"Male",4,5,80
"s7562","Movie","What Still Remains",2018,"TV-14","NR","Fresh",90,10,"Spilled",47,378,"Male",4,6,67
"s7587","Movie","When We First Met",2018,"TV-14","NR","Rotten",43,23,"Spilled",57,867,"Male",2,4,50
"s7625","Movie","Wildlife",2018,"PG-13","PG-13","Certified-Fresh",93,206,"Upright",73,1888,"Male",4,6,67
"s7626","Movie","Wildling",2018,"R","R","Fresh",70,46,"Spilled",40,583,"Male",2,4,50
"s11","Movie","1922",2017,"TV-MA","NR","Certified-Fresh",91,43,"Spilled",57,1880,"Male",3,4,75
"s132","Movie","68 Kill",2017,"R","NR","Fresh",70,23,"Spilled",54,517,"Male",6,9,67
"s160","Movie","A Christmas Prince",2017,"TV-PG","NR","Fresh",73,11,"Spilled",47,317,"Male",1,3,33
"s176","Movie","A Ghost Story",2017,"R","R","Certified-Fresh",91,274,"Upright",66,16789,"Male",2,4,50
"s455","Movie","American Assassin",2017,"R","R","Rotten",34,175,"Upright",60,18483,"Male",5,6,83
"s716","Movie","Band Aid",2017,"R","NR","Certified-Fresh",87,71,"Upright",73,3249,"Male",4,12,33
"s807","Movie","Before I Fall",2017,"PG-13","PG-13","Fresh",65,122,"Spilled",56,9236,"Male",3,11,27
"s939","Movie","Bitch",2017,"R","NR","Fresh",67,39,"Spilled",30,224,"Male",4,9,44
"s992","TV Show","Bloodline",2017,"TV-MA","R","Rotten",53,19,"Spilled",56,111,"Male",9,14,64
"s1103","Movie","Bright",2017,"TV-MA","NR","Rotten",28,109,"Upright",83,19445,"Male",7,10,70
"s1148","Movie","Burning Sands",2017,"TV-MA","NR","Fresh",88,26,"Upright",60,314,"Male",6,10,60
"s1150","Movie","Bushwick",2017,"TV-MA","NR","Rotten",48,73,"Spilled",31,700,"Male",2,5,40
"s1368","Movie","Christmas Inheritance",2017,"TV-G","NR","Rotten",43,7,"Spilled",35,136,"Male",5,7,71
"s1532","Movie","Creep 2",2017,"TV-MA","NR","Fresh",100,23,"Upright",72,998,"Male",2,3,67
"s1552","Movie","Cult of Chucky",2017,"R","NR","Fresh",79,24,"Spilled",46,1702,"Male",4,9,44
"s1672","Movie","Death House",2017,"R","R","Rotten",40,5,"Spilled",39,213,"Male",8,13,62
"s1673","Movie","Death Note",2017,"TV-MA","NR","Rotten",38,76,"Spilled",24,6202,"Male",3,4,75
"s1689","Movie","Deidra & Laney Rob a Train",2017,"TV-14","NR","Fresh",92,24,"Spilled",57,237,"Male",3,11,27
"s1945","Movie","El Camino Christmas",2017,"TV-MA","NR","Rotten",40,5,"Spilled",39,232,"Male",4,5,80
"s2315","Movie","Fun Mom Dinner",2017,"R","R","Rotten",32,28,"Spilled",35,260,"Male",4,8,50
"s2380","Movie","Gerald's Game",2017,"TV-MA","NR","Certified-Fresh",91,76,"Upright",71,3730,"Male",2,4,50
"s2427","Movie","Girlfriend's Day",2017,"TV-MA","NR","Rotten",43,7,"Spilled",37,210,"Male",13,16,81
"s2491","Movie","Good Time",2017,"R","R","Certified-Fresh",92,238,"Upright",81,9189,"Male",1,2,50
"s2597","Movie","Hangman",2017,"R","NR","Fresh",100,6,"Spilled",33,137,"Male",5,18,28
"s2597","Movie","Hangman",2017,"R","R","Rotten",4,23,"Spilled",30,483,"Male",5,18,28
"s2718","Movie","Hickok",2017,"TV-MA","NR","Rotten",57,7,"Spilled",18,162,"Male",4,6,67
"s2817","Movie","Hostiles",2017,"R","R","Fresh",70,220,"Upright",75,5461,"Male",11,12,92
"s3254","Movie","Justice",2017,"R","R","Fresh",67,9,"",NA,NA,"Male",6,8,75
"s3366","Movie","Kickboxer: Retaliation",2017,"R","R","Fresh",92,13,"Upright",69,472,"Male",5,6,83
"s3459","Movie","Krystal",2017,"R","R","Rotten",14,22,"Spilled",44,136,"Male",5,9,56
"s3513","Movie","Lady Bird",2017,"R","R","Certified-Fresh",99,391,"Upright",79,22610,"Male",5,9,56
"s3660","Movie","Little Evil",2017,"TV-MA","NR","Fresh",92,12,"Spilled",47,1107,"Male",4,8,50
"s4068","Movie","Michael Bolton's Big, Sexy Valentine's Day Special",2017,"TV-MA","NR","Fresh",100,5,"Upright",62,74,"Male",18,25,72
"s4164","Movie","Mohawk",2017,"TV-MA","NR","Certified-Fresh",84,43,"Spilled",28,218,"Male",5,6,83
